"08981: Konsumprisindeks (2015=100), etter måned, år og statistikkvariabel"

"måned";"år";"Konsumprisindeks (2015=100)"
"Juli";"2009";89.9
"Juli";"2010";91.6
"Juli";"2011";93.1
"Juli";"2012";93.3
"Juli";"2013";96.1
"Juli";"2014";98.3
"Juli";"2015";100.1
"Juli";"2016";104.5
"Juli";"2017";106.1
"Juli";"2018";109.3
"Juli";"2019";111.4
"Juli";"2020";112.9
"Juli";"2021";116.3
"Juli";"2022";124.2
"Juli";"2023";130.9
"Juli";"2024";134.5
"Juli";"2025";.
"August";"1920";5.6
"August";"1921";5.1
"August";"1922";4.2
"August";"1923";4.1
"August";"1924";4.5
"August";"1925";4.5
"August";"1926";3.8
"August";"1927";3.4
"August";"1928";3.2
"August";"1929";3.1
"August";"1930";3.0
"August";"1931";2.8
"August";"1932";2.8
"August";"1933";2.8
"August";"1934";2.8
"August";"1935";2.8
"August";"1936";2.9
"August";"1937";3.1
"August";"1938";3.2
"August";"1939";3.2
"August";"1940";3.7
"August";"1941";4.5
"August";"1942";4.7
"August";"1943";4.8
"August";"1944";4.9
"August";"1945";5.0
"August";"1946";5.1
"August";"1947";5.1
"August";"1948";5.0
"August";"1949";5.1
"August";"1950";5.3
"August";"1951";6.3
"August";"1952";6.8
"August";"1953";6.9
"August";"1954";7.3
"August";"1955";7.2
"August";"1956";7.6
"August";"1957";7.7
"August";"1958";8.2
"August";"1959";8.3
"August";"1960";8.3
"August";"1961";8.5
"August";"1962";9.0
"August";"1963";9.1
"August";"1964";9.8
"August";"1965";10.1
"August";"1966";10.5
"August";"1967";11.0
"August";"1968";11.3
"August";"1969";11.6
"August";"1970";12.9
"August";"1971";13.7
"August";"1972";14.8
"August";"1973";15.7
"August";"1974";17.3
"August";"1975";19.4
"August";"1976";21.3
"August";"1977";23.2
"August";"1978";24.9
"August";"1979";26.0
"August";"1980";29.2
"August";"1981";33.1
"August";"1982";36.7
"August";"1983";39.5
"August";"1984";42.0
"August";"1985";44.3
"August";"1986";47.9
"August";"1987";51.7
"August";"1988";55.1
"August";"1989";57.6
"August";"1990";59.8
"August";"1991";62.0
"August";"1992";63.4
"August";"1993";64.8
"August";"1994";65.8
"August";"1995";67.3
"August";"1996";68.3
"August";"1997";69.8
"August";"1998";71.3
"August";"1999";72.7
"August";"2000";75.3
"August";"2001";77.3
"August";"2002";78.3
"August";"2003";80.0
"August";"2004";80.8
"August";"2005";82.3
"August";"2006";83.9
"August";"2007";84.2
"August";"2008";88.0
"August";"2009";89.7
"August";"2010";91.4
"August";"2011";92.6
"August";"2012";92.9
"August";"2013";96.0
"August";"2014";97.9
"August";"2015";99.9
"August";"2016";103.9
"August";"2017";105.3
"August";"2018";108.9
"August";"2019";110.6
"August";"2020";112.5
"August";"2021";116.3
"August";"2022";123.9
"August";"2023";129.9
"August";"2024";133.3
"August";"2025";.
"September";"1920";5.8
"September";"1921";5.0
"September";"1922";4.2
"September";"1923";4.0
"September";"1924";4.6
"September";"1925";4.4
"September";"1926";3.7
"September";"1927";3.4
"September";"1928";3.1
"September";"1929";3.1
"September";"1930";3.0
"September";"1931";2.8
"September";"1932";2.8
"September";"1933";2.7
"September";"1934";2.8
"September";"1935";2.8
"September";"1936";2.9
"September";"1937";3.1
"September";"1938";3.1
"September";"1939";3.2
"September";"1940";4.0
"September";"1941";4.5
"September";"1942";4.7
"September";"1943";4.8
"September";"1944";4.9
"September";"1945";5.0
"September";"1946";5.1
"September";"1947";5.0
"September";"1948";5.0
"September";"1949";5.1
"September";"1950";5.4
"September";"1951";6.4
"September";"1952";6.9
"September";"1953";6.9
"September";"1954";7.3
"September";"1955";7.2
"September";"1956";7.5
"September";"1957";7.7
"September";"1958";8.3
"September";"1959";8.3
"September";"1960";8.3
"September";"1961";8.6
"September";"1962";9.1
"September";"1963";9.1
"September";"1964";9.9
"September";"1965";10.2
"September";"1966";10.5
"September";"1967";11.0
"September";"1968";11.3
"September";"1969";11.7
"September";"1970";13.0
"September";"1971";13.7
"September";"1972";14.9
"September";"1973";15.9
"September";"1974";17.5
"September";"1975";19.7
"September";"1976";21.3
"September";"1977";23.3
"September";"1978";25.2
"September";"1979";26.1
"September";"1980";29.5
"September";"1981";33.4
"September";"1982";37.0
"September";"1983";39.9
"September";"1984";42.3
"September";"1985";44.8
"September";"1986";48.6
"September";"1987";52.4
"September";"1988";55.8
"September";"1989";58.1
"September";"1990";60.4
"September";"1991";62.4
"September";"1992";63.7
"September";"1993";65.1
"September";"1994";66.2
"September";"1995";67.7
"September";"1996";68.6
"September";"1997";70.2
"September";"1998";71.9
"September";"1999";73.4
